home_score,away_score,home_team,away_team,date,win_score,lost_score
6,4,Rutgers,Princeton,1869-11-06T00:00:00.000Z,6,4
8,0,Princeton,Rutgers,1869-11-13T00:00:00.000Z,8,0
6,3,Rutgers,Columbia,1870-11-05T00:00:00.000Z,6,3
6,2,Princeton,Rutgers,1870-11-12T00:00:00.000Z,6,2
0,0,Rutgers,Columbia,1872-11-02T00:00:00.000Z,0,0
7,5,Rutgers,Columbia,1872-11-09T00:00:00.000Z,7,5
4,1,Princeton,Rutgers,1872-11-16T00:00:00.000Z,4,1
3,1,Yale,Rutgers,1873-10-25T00:00:00.000Z,3,1
5,4,Rutgers,Columbia,1873-11-01T00:00:00.000Z,5,4
4,3,Columbia,Rutgers,1873-11-08T00:00:00.000Z,4,3
6,1,Rutgers,Columbia,1874-10-24T00:00:00.000Z,6,1
0,6,Rutgers,Stevens,1874-11-01T00:00:00.000Z,6,0
4,1,Columbia,Rutgers,1874-11-14T00:00:00.000Z,4,1
6,0,Princeton,Rutgers,1874-11-18T00:00:00.000Z,6,0
6,0,Rutgers,Stevens,1875-10-24T00:00:00.000Z,6,0
1,1,Columbia,Rutgers,1875-11-02T00:00:00.000Z,1,1
4,1,Yale,Rutgers,1875-11-06T00:00:00.000Z,4,1
3,2,Rutgers,Stevens,1876-11-01T00:00:00.000Z,3,2
4,1,Stevens,Rutgers,1877-10-27T00:00:00.000Z,4,1
1,0,Columbia,Rutgers,1877-11-06T00:00:00.000Z,1,0
5,0,Rutgers,Stevens,1877-11-14T00:00:00.000Z,5,0
0,0,Stevens,Rutgers,1878-10-29T00:00:00.000Z,0,0
5,0,Princeton,Rutgers,1878-11-02T00:00:00.000Z,5,0
1,0,Stevens,Rutgers,1878-11-09T00:00:00.000Z,1,0
1,0,Rutgers,City College of New York,1878-12-07T00:00:00.000Z,1,0
0,1,Stevens,Rutgers,1879-11-11T00:00:00.000Z,1,0
5,0,Yale,Rutgers,1879-11-15T00:00:00.000Z,5,0
0,0,Rutgers,Columbia,1879-11-20T00:00:00.000Z,0,0
3,3,Stevens,Rutgers,1879-11-23T00:00:00.000Z,3,3
1,3,Rutgers,Stevens,1879-11-25T00:00:00.000Z,3,1
0,0,Rutgers,Stevens,1879-12-13T00:00:00.000Z,0,0
5,1,Rutgers,Stevens,1880-10-09T00:00:00.000Z,5,1
0,1,Stevens,Rutgers,1880-10-16T00:00:00.000Z,1,0
8,0,Princeton,Rutgers,1880-11-02T00:00:00.000Z,8,0
3,0,Columbia,Rutgers,1880-11-13T00:00:00.000Z,3,0
3,0,Princeton,Rutgers,1881-10-15T00:00:00.000Z,3,0
1,0,Harvard,Michigan,1881-10-31T00:00:00.000Z,1,0
2,0,Yale,Michigan,1881-11-02T00:00:00.000Z,2,0
1,0,Stevens,Rutgers,1881-11-03T00:00:00.000Z,1,0
1,0,Princeton,Michigan,1881-11-04T00:00:00.000Z,1,0
0,0,Columbia,Rutgers,1881-11-08T00:00:00.000Z,0,0
0,1,Rutgers,Princeton,1881-11-10T00:00:00.000Z,1,0
10,0,Rutgers,City College of New York,1881-11-17T00:00:00.000Z,10,0
1,2,Pennsylvania,Rutgers,1881-11-19T00:00:00.000Z,2,1
1,0,Columbia,Rutgers,1881-11-23T00:00:00.000Z,1,0
2,0,Amherst College,UMass,1882-10-14T00:00:00.000Z,2,0
5,0,Princeton,Rutgers,1882-10-14T00:00:00.000Z,5,0
7,0,Rutgers,City College of New York,1882-10-20T00:00:00.000Z,7,0
9,0,Yale,Rutgers,1882-10-21T00:00:00.000Z,9,0
7,0,Wesleyan (CT),UMass,1882-10-21T00:00:00.000Z,7,0
0,5,Rutgers,Yale,1882-10-28T00:00:00.000Z,5,0
0,7,UMass,Wesleyan (CT),1882-10-28T00:00:00.000Z,7,0
0,1,Pennsylvania,Rutgers,1882-11-04T00:00:00.000Z,1,0
8,0,Rutgers,Lafayette,1882-11-07T00:00:00.000Z,8,0
2,0,Rutgers,Columbia,1882-11-09T00:00:00.000Z,2,0
0,3,Rutgers,Princeton,1882-11-14T00:00:00.000Z,3,0
1,0,Rutgers,Pennsylvania,1882-11-18T00:00:00.000Z,1,0
0,2,Stevens,Rutgers,1882-11-24T00:00:00.000Z,2,0
40,5,Michigan,Detroit A.C.,1883-03-12T00:00:00.000Z,40,5
0,20,Rutgers,Princeton,1883-10-17T00:00:00.000Z,20,0
37,0,Wesleyan (CT),Rutgers,1883-10-20T00:00:00.000Z,37,0
61,0,Princeton,Rutgers,1883-10-27T00:00:00.000Z,61,0
54,2,Rutgers,City College of New York,1883-10-31T00:00:00.000Z,54,2
92,0,Yale,Rutgers,1883-11-06T00:00:00.000Z,92,0
25,0,Lafayette,Rutgers,1883-11-10T00:00:00.000Z,25,0
18,0,Pennsylvania,Rutgers,1883-11-17T00:00:00.000Z,18,0
