home_score,away_score,home_team,away_team,date,win_score,lost_score
6,4,Rutgers,Princeton,1869-11-06T00:00:00.000Z,6,4
8,0,Princeton,Rutgers,1869-11-13T00:00:00.000Z,8,0
6,3,Rutgers,Columbia,1870-11-05T00:00:00.000Z,6,3
6,2,Princeton,Rutgers,1870-11-12T00:00:00.000Z,6,2
0,0,Rutgers,Columbia,1872-11-02T00:00:00.000Z,0,0
7,5,Rutgers,Columbia,1872-11-09T00:00:00.000Z,7,5
4,1,Princeton,Rutgers,1872-11-16T00:00:00.000Z,4,1
3,1,Yale,Rutgers,1873-10-25T00:00:00.000Z,3,1
5,4,Rutgers,Columbia,1873-11-01T00:00:00.000Z,5,4
4,3,Columbia,Rutgers,1873-11-08T00:00:00.000Z,4,3
6,1,Rutgers,Columbia,1874-10-24T00:00:00.000Z,6,1
0,6,Rutgers,Stevens,1874-11-01T00:00:00.000Z,6,0
1,1,Columbia,Rutgers,1875-11-02T00:00:00.000Z,1,1
3,2,Rutgers,Stevens,1876-11-01T00:00:00.000Z,3,2
1,0,Columbia,Rutgers,1877-11-06T00:00:00.000Z,1,0
5,0,Rutgers,Stevens,1877-11-14T00:00:00.000Z,5,0
3,3,Stevens,Rutgers,1879-11-23T00:00:00.000Z,3,3
5,1,Rutgers,Stevens,1880-10-09T00:00:00.000Z,5,1
3,0,Columbia,Rutgers,1880-11-13T00:00:00.000Z,3,0
2,0,Yale,Michigan,1881-11-02T00:00:00.000Z,2,0
10,0,Rutgers,City College of New York,1881-11-17T00:00:00.000Z,10,0
1,2,Pennsylvania,Rutgers,1881-11-19T00:00:00.000Z,2,1
7,0,Rutgers,City College of New York,1882-10-20T00:00:00.000Z,7,0
9,0,Yale,Rutgers,1882-10-21T00:00:00.000Z,9,0
40,5,Michigan,Detroit A.C.,1883-03-12T00:00:00.000Z,40,5
0,20,Rutgers,Princeton,1883-10-17T00:00:00.000Z,20,0
37,0,Wesleyan (CT),Rutgers,1883-10-20T00:00:00.000Z,37,0
61,0,Princeton,Rutgers,1883-10-27T00:00:00.000Z,61,0
54,2,Rutgers,City College of New York,1883-10-31T00:00:00.000Z,54,2
92,0,Yale,Rutgers,1883-11-06T00:00:00.000Z,92,0
25,0,Lafayette,Rutgers,1883-11-10T00:00:00.000Z,25,0
18,0,Pennsylvania,Rutgers,1883-11-17T00:00:00.000Z,18,0
14,6,Wesleyan (CT),Michigan,1883-11-19T00:00:00.000Z,14,6
64,0,Yale,Michigan,1883-11-21T00:00:00.000Z,64,0
5,23,Rutgers,Princeton,1884-10-10T00:00:00.000Z,23,5
35,5,Rutgers,Columbia,1884-10-15T00:00:00.000Z,35,5
35,0,Princeton,Rutgers,1884-10-18T00:00:00.000Z,35,0
10,76,Rutgers,Yale,1884-10-22T00:00:00.000Z,76,10
26,0,Rutgers,Lafayette,1884-11-08T00:00:00.000Z,26,0
31,0,Wesleyan (CT),Rutgers,1884-11-15T00:00:00.000Z,31,0
80,0,Wesleyan (CT),UMass,1885-10-10T00:00:00.000Z,80,0
10,5,Lehigh,Rutgers,1885-11-04T00:00:00.000Z,10,5
28,2,Lafayette,Rutgers,1886-10-16T00:00:00.000Z,28,2
13,0,Amherst College,UMass,1886-10-23T00:00:00.000Z,13,0
5,6,Tufts,UMass,1886-10-30T00:00:00.000Z,6,5
58,0,Rutgers,Vineland,1886-11-06T00:00:00.000Z,58,0
65,0,Pennsylvania,Rutgers,1886-11-10T00:00:00.000Z,65,0
10,26,Rutgers,Lafayette,1886-11-17T00:00:00.000Z,26,10
0,30,Rutgers,Princeton,1887-10-12T00:00:00.000Z,30,0
2,5,Stevens,Rutgers,1887-10-19T00:00:00.000Z,5,2
32,4,Trinity (CT),UMass,1887-10-19T00:00:00.000Z,32,4
12,6,Williams,Rutgers,1887-10-29T00:00:00.000Z,12,6
13,10,Pennsylvania,Rutgers,1887-11-02T00:00:00.000Z,13,10
74,0,Yale,Rutgers,1887-11-05T00:00:00.000Z,74,0
0,36,Rutgers,Lafayette,1887-11-12T00:00:00.000Z,36,0
0,4,Rutgers,Lafayette,1888-10-20T00:00:00.000Z,4,0
82,0,Princeton,Rutgers,1888-10-27T00:00:00.000Z,82,0
34,0,Trinity (CT),UMass,1888-10-27T00:00:00.000Z,34,0
18,18,Stevens,Rutgers,1888-11-01T00:00:00.000Z,18,18
0,42,Rutgers,Williams,1888-11-02T00:00:00.000Z,42,0
6,18,Ridgefield A.C.,Rutgers,1888-11-05T00:00:00.000Z,18,6
4,45,UMass,Amherst College,1888-11-24T00:00:00.000Z,45,4
9,20,Navy,Pennsylvania,1888-12-01T00:00:00.000Z,20,9
0,16,Rutgers,Lafayette,1889-10-16T00:00:00.000Z,16,0
58,4,Wesleyan (CT),Rutgers,1889-10-19T00:00:00.000Z,58,4
